CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;NU_ANO;TX_ENUNCIADO
30;LC;150640;D;22;0;;5.12643;0.99473;0.15516;AZUL;1395;;0;2024;"30 minutos 7 Azul
Cinza 6 que antecedem o término das provas. 6 Cinza
Amarelo 5 5 Amarelo
ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM
*010175AZ1*
BBB0011iiiggg00uuu11rrr77rrr55iiilllAAhhhZZooosss..ii...nniiinnndddddbbddd 11 111 11224433////00006688////2222000022222244 11117766::::11442266::::00446600"
30;LC;150640;D;22;0;;5.12643;0.99473;0.15516;AZUL;1395;;0;2024;"30 minutos 7 Azul
Cinza 6 que antecedem o término das provas. 6 Cinza
Amarelo 5 5 Amarelo
ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM
*010175AZ1*
BBB0011iiiggg00uuu11rrr77rrr55iiilllAAhhhZZooosss..ii...nniiinnndddddbbddd 11 111 11224433////00006688////2222000022222244 11117766::::11442266::::00446600"
127;CN;95445;C;8;0;;4.85792;1.12172;0.19432;AZUL;1483;;0;2024;Enunciado da Questão 127 (Consulte o Caderno Azul Oficial)
127;CN;95445;C;8;0;;4.85792;1.12172;0.19432;AZUL;1483;;0;2024;Enunciado da Questão 127 (Consulte o Caderno Azul Oficial)
127;CN;95445;C;8;0;;4.85792;1.12172;0.19432;AZUL;1483;;0;2024;Enunciado da Questão 127 (Consulte o Caderno Azul Oficial)
38;LC;43532;B;18;0;;4.75417;0.97598;0.1838;AZUL;1459;;0;2024;"38 fazia da língua em suas composições, pois esse uso
pessoas com suas malas A marcava a linguagem dos comediantes no mesmo
mochilas e valises período.
chegam e se vão B prejudicava a compreensão das canções pelo público.
se encontram C denunciava a ausência de estilo nas letras de canção.
se despedem D restringia a criação poética nas letras do compositor.
e se despem
E transgredia a norma-padrão vigente à época.
de seus pertences
como se pudessem chegar
a algum lugar
onde elas mesmas
não estivessem
RUIZ, A. In: SANT’ANNA, A. Rua Aribau: coletânea de poemas.
Porto Alegre: TAG, 2018.
Esse poema, por meio da ideia de deslocamento, metaforiza
a tentativa de pessoas
A buscarem novos encontros.
B fugirem da própria identidade.
C procurarem lugares inexplorados.
D partirem em experiências inusitadas.
E desaparecerem da vida em sociedade.
ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM20E4ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024
4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202ME"
38;LC;43532;B;18;0;;4.75417;0.97598;0.1838;AZUL;1459;;0;2024;"38 fazia da língua em suas composições, pois esse uso
pessoas com suas malas A marcava a linguagem dos comediantes no mesmo
mochilas e valises período.
chegam e se vão B prejudicava a compreensão das canções pelo público.
se encontram C denunciava a ausência de estilo nas letras de canção.
se despedem D restringia a criação poética nas letras do compositor.
e se despem
E transgredia a norma-padrão vigente à época.
de seus pertences
como se pudessem chegar
a algum lugar
onde elas mesmas
não estivessem
RUIZ, A. In: SANT’ANNA, A. Rua Aribau: coletânea de poemas.
Porto Alegre: TAG, 2018.
Esse poema, por meio da ideia de deslocamento, metaforiza
a tentativa de pessoas
A buscarem novos encontros.
B fugirem da própria identidade.
C procurarem lugares inexplorados.
D partirem em experiências inusitadas.
E desaparecerem da vida em sociedade.
ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM20E4ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024
4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202ME"
38;LC;43532;B;18;0;;4.75417;0.97598;0.1838;AZUL;1459;;0;2024;"38 fazia da língua em suas composições, pois esse uso
pessoas com suas malas A marcava a linguagem dos comediantes no mesmo
mochilas e valises período.
chegam e se vão B prejudicava a compreensão das canções pelo público.
se encontram C denunciava a ausência de estilo nas letras de canção.
se despedem D restringia a criação poética nas letras do compositor.
e se despem
E transgredia a norma-padrão vigente à época.
de seus pertences
como se pudessem chegar
a algum lugar
onde elas mesmas
não estivessem
RUIZ, A. In: SANT’ANNA, A. Rua Aribau: coletânea de poemas.
Porto Alegre: TAG, 2018.
Esse poema, por meio da ideia de deslocamento, metaforiza
a tentativa de pessoas
A buscarem novos encontros.
B fugirem da própria identidade.
C procurarem lugares inexplorados.
D partirem em experiências inusitadas.
E desaparecerem da vida em sociedade.
ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM20E4ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024
4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202MENE4202ME"
57;CH;140822;A;19;0;;4.7046;0.72073;0.22345;AZUL;1431;;0;2024;Enunciado da Questão 57 (Consulte o Caderno Azul Oficial)
57;CH;140822;A;19;0;;4.7046;0.72073;0.22345;AZUL;1343;;0;2024;Enunciado da Questão 57 (Consulte o Caderno Azul Oficial)
57;CH;140822;A;19;0;;4.7046;0.72073;0.22345;AZUL;1431;;0;2024;Enunciado da Questão 57 (Consulte o Caderno Azul Oficial)
57;CH;140822;A;19;0;;4.7046;0.72073;0.22345;AZUL;1343;;0;2024;Enunciado da Questão 57 (Consulte o Caderno Azul Oficial)
57;CH;140822;A;19;0;;4.7046;0.72073;0.22345;AZUL;1431;;0;2024;Enunciado da Questão 57 (Consulte o Caderno Azul Oficial)
57;CH;140822;A;19;0;;4.7046;0.72073;0.22345;AZUL;1343;;0;2024;Enunciado da Questão 57 (Consulte o Caderno Azul Oficial)
50;CH;111883;A;12;0;;4.66484;2.18392;0.24931;AZUL;1447;;0;2024;"50 QUESTÃO 52
O bispo Bartolomeu de Las Casas é o homem mais O Black Lives Matter vai para além do nacionalismo
odiado da América, o anti-Cristo dos senhores, o açoite estreito que pode prevalecer no seio das comunidades
destas terras. Por sua culpa, o imperador promulgou negras, que se limita a apelar aos negros a amar
novas leis que despojam de escravos índios os filhos dos os negros, viver como os negros e comprar produtos
conquistadores. O que será deles sem os braços que dos negros, e mantém à frente do movimento homens
os sustentam nas minas e nas lavouras? As novas leis negros heterossexuais. Black Lives Matter estima as
estão arrancando a comida de suas bocas. Las Casas é o vidas dos negros e negras homossexuais e transexuais,
homem mais amado da América. Voz dos mudos, teimoso pessoas incapacitadas, negros sem documentos ou com
defensor dos que recebem pior tratamento que o esterco antecedentes criminais, mulheres e as vidas de todos os
das praças, denunciador de quem por cobiça converte negros de todo o espectro de gêneros.
Jesus Cristo no mais cruel dos deuses e o rei em lobo
LA BOTZ, D. O movimento Black Lives Matter organiza-se e procura
faminto de carne humana. definir-se politicamente. Disponível em: www.ufes.br.
Acesso em: 4 out. 2021 (adaptado).
GALEANO, E. Os nascimentos. Porto Alegre:
L&PM, 2011 (adaptado).
A reivindicação do movimento norte-americano apresentada
Os diferentes pontos de vista presentes no texto expressam no texto consiste na necessidade de
"
50;CH;111883;A;12;0;;4.66484;2.18392;0.24931;AZUL;1447;;0;2024;"50 QUESTÃO 52
O bispo Bartolomeu de Las Casas é o homem mais O Black Lives Matter vai para além do nacionalismo
odiado da América, o anti-Cristo dos senhores, o açoite estreito que pode prevalecer no seio das comunidades
destas terras. Por sua culpa, o imperador promulgou negras, que se limita a apelar aos negros a amar
novas leis que despojam de escravos índios os filhos dos os negros, viver como os negros e comprar produtos
conquistadores. O que será deles sem os braços que dos negros, e mantém à frente do movimento homens
os sustentam nas minas e nas lavouras? As novas leis negros heterossexuais. Black Lives Matter estima as
estão arrancando a comida de suas bocas. Las Casas é o vidas dos negros e negras homossexuais e transexuais,
homem mais amado da América. Voz dos mudos, teimoso pessoas incapacitadas, negros sem documentos ou com
defensor dos que recebem pior tratamento que o esterco antecedentes criminais, mulheres e as vidas de todos os
das praças, denunciador de quem por cobiça converte negros de todo o espectro de gêneros.
Jesus Cristo no mais cruel dos deuses e o rei em lobo
LA BOTZ, D. O movimento Black Lives Matter organiza-se e procura
faminto de carne humana. definir-se politicamente. Disponível em: www.ufes.br.
Acesso em: 4 out. 2021 (adaptado).
GALEANO, E. Os nascimentos. Porto Alegre:
L&PM, 2011 (adaptado).
A reivindicação do movimento norte-americano apresentada
Os diferentes pontos de vista presentes no texto expressam no texto consiste na necessidade de
"
50;CH;111883;A;12;0;;4.66484;2.18392;0.24931;AZUL;1447;;0;2024;"50 QUESTÃO 52
O bispo Bartolomeu de Las Casas é o homem mais O Black Lives Matter vai para além do nacionalismo
odiado da América, o anti-Cristo dos senhores, o açoite estreito que pode prevalecer no seio das comunidades
destas terras. Por sua culpa, o imperador promulgou negras, que se limita a apelar aos negros a amar
novas leis que despojam de escravos índios os filhos dos os negros, viver como os negros e comprar produtos
conquistadores. O que será deles sem os braços que dos negros, e mantém à frente do movimento homens
os sustentam nas minas e nas lavouras? As novas leis negros heterossexuais. Black Lives Matter estima as
estão arrancando a comida de suas bocas. Las Casas é o vidas dos negros e negras homossexuais e transexuais,
homem mais amado da América. Voz dos mudos, teimoso pessoas incapacitadas, negros sem documentos ou com
defensor dos que recebem pior tratamento que o esterco antecedentes criminais, mulheres e as vidas de todos os
das praças, denunciador de quem por cobiça converte negros de todo o espectro de gêneros.
Jesus Cristo no mais cruel dos deuses e o rei em lobo
LA BOTZ, D. O movimento Black Lives Matter organiza-se e procura
faminto de carne humana. definir-se politicamente. Disponível em: www.ufes.br.
Acesso em: 4 out. 2021 (adaptado).
GALEANO, E. Os nascimentos. Porto Alegre:
L&PM, 2011 (adaptado).
A reivindicação do movimento norte-americano apresentada
Os diferentes pontos de vista presentes no texto expressam no texto consiste na necessidade de
"
13;LC;153400;E;27;0;;4.6087;0.80546;0.10579;AZUL;1459;;0;2024;"13 out. 2021 (fragmento).
lengua, hasta le decían dialecto. Era parte del proceso fatal
Nesse poema, o eu lírico representa a voz de um
que nos llevó a no reconocernos en un país multilingüe.
sobrevivente asteca que testemunha a
¿Si tenemos varias lenguas por qué no aprender?”.
A destruição da capital do Império Asteca pelos
Disponível em: www.fapcom.edu.br. Acesso em: 20 nov. 2021.
colonizadores espanhóis.
Em sua escrita poética, a poetisa mexicana Celerina B degradação do meio ambiente no entorno da capital
Patricia Sánchez Santiago assume o desafio de do Império Asteca.
A destacar a importância da literatura na formação escolar. C tristeza dos refugiados astecas ao deixarem a capital
do Império rumo ao exílio.
B discutir a hegemonia da literatura escrita em espanhol.
D aflição dos astecas ao receberem os colonizadores
C promover reflexões acerca de conceitos abstratos.
espanhóis na capital do Império.
D representar a pluralidade linguística de seu país. E resistência dos astecas às mudanças feitas pelos
E narrar uma trajetória de autoconhecimento. colonizadores espanhóis na capital do Império.
ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM20E4ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024EN"
13;LC;153400;E;27;0;;4.6087;0.80546;0.10579;AZUL;1459;;0;2024;"13 out. 2021 (fragmento).
lengua, hasta le decían dialecto. Era parte del proceso fatal
Nesse poema, o eu lírico representa a voz de um
que nos llevó a no reconocernos en un país multilingüe.
sobrevivente asteca que testemunha a
¿Si tenemos varias lenguas por qué no aprender?”.
A destruição da capital do Império Asteca pelos
Disponível em: www.fapcom.edu.br. Acesso em: 20 nov. 2021.
colonizadores espanhóis.
Em sua escrita poética, a poetisa mexicana Celerina B degradação do meio ambiente no entorno da capital
Patricia Sánchez Santiago assume o desafio de do Império Asteca.
A destacar a importância da literatura na formação escolar. C tristeza dos refugiados astecas ao deixarem a capital
do Império rumo ao exílio.
B discutir a hegemonia da literatura escrita em espanhol.
D aflição dos astecas ao receberem os colonizadores
C promover reflexões acerca de conceitos abstratos.
espanhóis na capital do Império.
D representar a pluralidade linguística de seu país. E resistência dos astecas às mudanças feitas pelos
E narrar uma trajetória de autoconhecimento. colonizadores espanhóis na capital do Império.
ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM20E4ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024ENEM2024EN"
